Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.15128593146800995,0.153659388422966,0.15126074850559235,0.153659388422966,0.153659388422966,0
2010-01-05,0.153659388422966,0.153659388422966,0.153659388422966,0.153659388422966,0.153659388422966,0
2010-01-06,0.15347780287265778,0.15347780287265778,0.152865469455719,0.15298239886760712,0.15298239886760712,0
2010-01-07,0.15375863015651703,0.15375863015651703,0.15200340747833252,0.15209126472473145,0.15209126472473145,0
2010-01-08,0.15164151787757874,0.15164151787757874,0.15164151787757874,0.15164151787757874,0.15164151787757874,0
2010-01-11,0.15345190465450287,0.15345190465450287,0.15345190465450287,0.15345190465450287,0.15345190465450287,0
2010-01-12,0.15160703659057617,0.15160703659057617,0.15160703659057617,0.15160703659057617,0.15160703659057617,0
2010-01-13,0.15239721536636353,0.15239721536636353,0.15239721536636353,0.15239721536636353,0.15239721536636353,0
2010-01-14,0.15206117928028107,0.15206117928028107,0.15194104611873627,0.15194104611873627,0.15194104611873627,0
2010-01-15,0.15220700204372406,0.15220700204372406,0.15220700204372406,0.15220700204372406,0.15220700204372406,0
2010-01-18,0.15238791704177856,0.15238791704177856,0.15238791704177856,0.15238791704177856,0.15238791704177856,0
2010-01-19,0.15197105705738068,0.15197105705738068,0.15197105705738068,0.15197105705738068,0.15197105705738068,0
2010-01-20,0.15045060217380524,0.15045060217380524,0.15045060217380524,0.15045060217380524,0.15045060217380524,0
2010-01-21,0.15026973187923431,0.15026973187923431,0.1501569151878357,0.1501569151878357,0.1501569151878357,0
2010-01-22,0.15049362182617188,0.15049362182617188,0.1495998203754425,0.1495998203754425,0.1495998203754425,0
2010-01-25,0.1500825434923172,0.1500825434923172,0.14957073330879211,0.14968715608119965,0.14968715608119965,0
2010-01-26,0.14890480041503906,0.14890480041503906,0.14890480041503906,0.14890480041503906,0.14890480041503906,0
2010-01-27,0.14964906871318817,0.14964906871318817,0.14964906871318817,0.14964906871318817,0.14964906871318817,0
2010-01-28,0.14943662285804749,0.14943662285804749,0.14943662285804749,0.14943662285804749,0.14943662285804749,0
2010-01-29,0.14957743883132935,0.14957743883132935,0.14957743883132935,0.14957743883132935,0.14957743883132935,0
2010-02-01,0.1489824503660202,0.1489824503660202,0.1489824503660202,0.1489824503660202,0.1489824503660202,0
2010-02-02,0.15072044730186462,0.15072953701019287,0.15072044730186462,0.15072953701019287,0.15072953701019287,0
2010-02-03,0.15083637833595276,0.15091605484485626,0.15083637833595276,0.15091605484485626,0.15091605484485626,0
2010-02-04,0.14904017746448517,0.14904017746448517,0.14904017746448517,0.14904017746448517,0.14904017746448517,0
2010-02-05,0.14751438796520233,0.14751438796520233,0.14751438796520233,0.14751438796520233,0.14751438796520233,0
2010-02-08,0.14660607278347015,0.14660607278347015,0.14660607278347015,0.14660607278347015,0.14660607278347015,0
2010-02-09,0.1473231464624405,0.1473231464624405,0.1473231464624405,0.1473231464624405,0.1473231464624405,0
2010-02-10,0.14793337881565094,0.14793337881565094,0.14793337881565094,0.14793337881565094,0.14793337881565094,0
2010-02-11,0.14766250550746918,0.14766250550746918,0.14766250550746918,0.14766250550746918,0.14766250550746918,0
2010-02-12,0.14713671803474426,0.14713671803474426,0.14713671803474426,0.14713671803474426,0.14713671803474426,0
2010-02-15,0.1473361700773239,0.1473361700773239,0.1473361700773239,0.1473361700773239,0.1473361700773239,0
2010-02-16,0.147271066904068,0.147271066904068,0.147271066904068,0.147271066904068,0.147271066904068,0
2010-02-17,0.14754702150821686,0.14754702150821686,0.14754702150821686,0.14754702150821686,0.14754702150821686,0
2010-02-18,0.14754486083984375,0.14757315814495087,0.14754486083984375,0.14757315814495087,0.14757315814495087,0
2010-02-19,0.1464257389307022,0.14649009704589844,0.1464257389307022,0.14649009704589844,0.14649009704589844,0
2010-02-22,0.1467050015926361,0.1467050015926361,0.1467050015926361,0.1467050015926361,0.1467050015926361,0
2010-02-23,0.14698965847492218,0.14698965847492218,0.14688818156719208,0.14689034223556519,0.14689034223556519,0
2010-02-24,0.14607496559619904,0.14626725018024445,0.14607496559619904,0.1461176574230194,0.1461176574230194,0
2010-02-25,0.14568765461444855,0.14568765461444855,0.14568765461444855,0.14568765461444855,0.14568765461444855,0
2010-02-26,0.14660821855068207,0.14660821855068207,0.14660821855068207,0.14660821855068207,0.14660821855068207,0
2010-03-01,0.14679329097270966,0.14679329097270966,0.14608776569366455,0.14608776569366455,0.14608776569366455,0
2010-03-02,0.14812180399894714,0.14875639975070953,0.14812180399894714,0.14875639975070953,0.14875639975070953,0
2010-03-03,0.1487276405096054,0.1487276405096054,0.1487276405096054,0.1487276405096054,0.1487276405096054,0
2010-03-04,0.14960429072380066,0.14960429072380066,0.14960429072380066,0.14960429072380066,0.14960429072380066,0
2010-03-05,0.14960429072380066,0.14960429072380066,0.14960429072380066,0.14960429072380066,0.14960429072380066,0
2010-03-08,0.15038950741291046,0.15038950741291046,0.15038950741291046,0.15038950741291046,0.15038950741291046,0
2010-03-09,0.15003976225852966,0.15003976225852966,0.14961101114749908,0.14961101114749908,0.14961101114749908,0
2010-03-10,0.15017269551753998,0.15017269551753998,0.15017269551753998,0.15017269551753998,0.15017269551753998,0
2010-03-11,0.149543896317482,0.149543896317482,0.149543896317482,0.149543896317482,0.149543896317482,0
2010-03-12,0.15042343735694885,0.15042343735694885,0.15042343735694885,0.15042343735694885,0.15042343735694885,0
2010-03-15,0.1502494066953659,0.1502494066953659,0.1502494066953659,0.1502494066953659,0.1502494066953659,0
2010-03-16,0.15041665732860565,0.15041665732860565,0.15041665732860565,0.15041665732860565,0.15041665732860565,0
2010-03-17,0.15161852538585663,0.15161852538585663,0.15161852538585663,0.15161852538585663,0.15161852538585663,0
2010-03-18,0.15097986161708832,0.15150366723537445,0.15097986161708832,0.1514577865600586,0.1514577865600586,0
2010-03-19,0.1509479433298111,0.1509479433298111,0.1509479433298111,0.1509479433298111,0.1509479433298111,0
2010-03-22,0.15002401173114777,0.15002401173114777,0.15002401173114777,0.15002401173114777,0.15002401173114777,0
2010-03-23,0.15050721168518066,0.15050721168518066,0.15036237239837646,0.15036237239837646,0.15036237239837646,0
2010-03-24,0.14992503821849823,0.14992503821849823,0.14992503821849823,0.14992503821849823,0.14992503821849823,0
2010-03-25,0.1497611254453659,0.1497611254453659,0.14960429072380066,0.14967595040798187,0.14967595040798187,0
2010-03-26,0.1489558219909668,0.1489558219909668,0.1489558219909668,0.1489558219909668,0.1489558219909668,0
2010-03-29,0.14954166114330292,0.14954166114330292,0.14954166114330292,0.14954166114330292,0.14954166114330292,0
2010-03-30,0.1495908796787262,0.15003076195716858,0.1495908796787262,0.15003076195716858,0.15003076195716858,0
2010-03-31,0.1503533273935318,0.1503533273935318,0.1503533273935318,0.1503533273935318,0.1503533273935318,0
2010-04-01,0.15130653977394104,0.15130653977394104,0.15130653977394104,0.15130653977394104,0.15130653977394104,0
2010-04-02,0.152204692363739,0.152204692363739,0.1519918590784073,0.1519918590784073,0.1519918590784073,0
2010-04-05,0.15124017000198364,0.15124017000198364,0.15124017000198364,0.15124017000198364,0.15124017000198364,0
2010-04-06,0.15053439140319824,0.15098214149475098,0.15053439140319824,0.15098214149475098,0.15098214149475098,0
2010-04-07,0.15079772472381592,0.15079772472381592,0.15079772472381592,0.15079772472381592,0.15079772472381592,0
2010-04-08,0.15063416957855225,0.15063416957855225,0.15024715662002563,0.15024715662002563,0.15024715662002563,0
2010-04-09,0.1512172967195511,0.1512172967195511,0.1512172967195511,0.1512172967195511,0.1512172967195511,0
2010-04-12,0.15169212222099304,0.15169212222099304,0.15153580904006958,0.15153580904006958,0.15153580904006958,0
2010-04-13,0.15143024921417236,0.15143024921417236,0.15113502740859985,0.1513637900352478,0.1513637900352478,0
2010-04-14,0.1508796215057373,0.1508796215057373,0.1508796215057373,0.1508796215057373,0.1508796215057373,0
2010-04-15,0.14974094927310944,0.14974094927310944,0.14974094927310944,0.14974094927310944,0.14974094927310944,0
2010-04-16,0.15000374615192413,0.15000374615192413,0.14945225417613983,0.14945225417613983,0.14945225417613983,0
2010-04-19,0.14835914969444275,0.14835914969444275,0.14835914969444275,0.14835914969444275,0.14835914969444275,0
2010-04-20,0.14951929450035095,0.14951929450035095,0.14951929450035095,0.14951929450035095,0.14951929450035095,0
2010-04-21,0.14924035966396332,0.14924035966396332,0.14924035966396332,0.14924035966396332,0.14924035966396332,0
2010-04-22,0.14833053946495056,0.14833053946495056,0.14833053946495056,0.14833053946495056,0.14833053946495056,0
2010-04-23,0.14835694432258606,0.14835694432258606,0.14835694432258606,0.14835694432258606,0.14835694432258606,0
2010-04-26,0.14936742186546326,0.14936742186546326,0.14936742186546326,0.14936742186546326,0.14936742186546326,0
2010-04-27,0.14926932752132416,0.14926932752132416,0.14926932752132416,0.14926932752132416,0.14926932752132416,0
2010-04-28,0.14783713221549988,0.14783713221549988,0.1477999985218048,0.1477999985218048,0.1477999985218048,0
2010-04-29,0.1491113007068634,0.1491113007068634,0.1491113007068634,0.1491113007068634,0.1491113007068634,0
2010-04-30,0.1498621255159378,0.1498621255159378,0.1498621255159378,0.1498621255159378,0.1498621255159378,0
2010-05-03,0.1487807333469391,0.1487807333469391,0.1487807333469391,0.1487807333469391,0.1487807333469391,0
2010-05-04,0.14757098257541656,0.14757098257541656,0.14757098257541656,0.14757098257541656,0.14757098257541656,0
2010-05-05,0.14574284851551056,0.14574284851551056,0.14574284851551056,0.14574284851551056,0.14574284851551056,0
2010-05-06,0.14546935260295868,0.14546935260295868,0.14546935260295868,0.14546935260295868,0.14546935260295868,0
2010-05-07,0.14438140392303467,0.14442726969718933,0.14438140392303467,0.14442726969718933,0.14442726969718933,0
2010-05-10,0.1473318189382553,0.1473318189382553,0.1473318189382553,0.1473318189382553,0.1473318189382553,0
